2023-01-06T16:54:03+00:00
Running ./bin/nvfuser_bench
Run on (64 X 3500 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 32 KiB (x32)
  L2 Unified 512 KiB (x32)
  L3 Unified 16384 KiB (x8)
Load Average: 0.10, 0.49, 0.50
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Baseline_TIMM_LayerNorm_fp16/8/24/7/manual_time",12047,11.5975,88.8545,us,3.25313e+09,,,,
"Baseline_TIMM_LayerNorm_fp16/16/24/7/manual_time",11770,11.8806,89.0775,us,6.34313e+09,,,,
"Baseline_TIMM_LayerNorm_fp16/32/24/7/manual_time",9757,14.3764,91.3962,us,1.04772e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/24/7/manual_time",8060,17.3747,94.3401,us,1.73328e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/128/24/7/manual_time",5962,23.4292,100.224,us,2.57033e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/256/24/7/manual_time",3802,36.7975,113.419,us,3.27283e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/8/40/7/manual_time",12102,11.538,88.7655,us,5.44983e+09,,,,
"Baseline_TIMM_LayerNorm_fp16/16/40/7/manual_time",11728,11.9026,89.041,us,1.05523e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/32/40/7/manual_time",9725,14.4591,91.4169,us,1.73621e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/40/7/manual_time",7982,17.5457,94.4332,us,2.86065e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/128/40/7/manual_time",5945,23.5742,100.336,us,4.25753e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/256/40/7/manual_time",3758,37.2408,113.896,us,5.38978e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/8/48/7/manual_time",12018,11.6266,88.9404,us,6.48993e+09,,,,
"Baseline_TIMM_LayerNorm_fp16/16/48/7/manual_time",11685,12.0123,89.3634,us,1.25471e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/32/48/7/manual_time",9648,14.4845,91.4899,us,2.0798e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/48/7/manual_time",7988,17.6087,94.6052,us,3.42048e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/128/48/7/manual_time",5888,23.7499,100.608,us,5.07124e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/256/48/7/manual_time",3758,37.3226,113.898,us,6.45357e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/8/56/7/manual_time",11992,11.6627,88.8616,us,7.54817e+09,,,,
"Baseline_TIMM_LayerNorm_fp16/16/56/7/manual_time",11630,12.0415,89.2179,us,1.46029e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/32/56/7/manual_time",9582,14.5227,91.5188,us,2.42005e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/56/7/manual_time",7951,17.4997,94.2765,us,4.01543e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/128/56/7/manual_time",5890,23.7639,100.546,us,5.91296e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/256/56/7/manual_time",3753,37.2692,113.729,us,7.53996e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/8/72/7/manual_time",11904,11.7092,88.9304,us,9.66621e+09,,,,
"Baseline_TIMM_LayerNorm_fp16/16/72/7/manual_time",11633,12.0664,89.2989,us,1.87363e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/32/72/7/manual_time",9539,14.6822,91.6459,us,3.07769e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/72/7/manual_time",7864,17.7721,94.6439,us,5.08357e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/128/72/7/manual_time",5824,24.0258,100.754,us,7.5195e+10,,,,
