2023-01-04T14:46:33+00:00
Running ./bin/nvfuser_bench
Run on (64 X 3500 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 32 KiB (x32)
  L2 Unified 512 KiB (x32)
  L3 Unified 16384 KiB (x8)
Load Average: 0.58, 0.81, 0.62
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Baseline_TIMM_LayerNorm_fp16/8/24/7/manual_time",66399,10.4987,86.5201,us,3.59359e+09,,,,
"Baseline_TIMM_LayerNorm_fp16/16/24/7/manual_time",64761,10.8111,86.7688,us,6.97058e+09,,,,
"Baseline_TIMM_LayerNorm_fp16/32/24/7/manual_time",52521,13.3032,89.0336,us,1.13224e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/24/7/manual_time",43152,16.2481,91.7081,us,1.85345e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/128/24/7/manual_time",31303,22.3297,97.6177,us,2.69689e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/256/24/7/manual_time",19598,35.7246,110.85,us,3.37112e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/8/40/7/manual_time",66979,10.4066,86.3901,us,6.04232e+09,,,,
"Baseline_TIMM_LayerNorm_fp16/16/40/7/manual_time",64604,10.8267,86.7643,us,1.1601e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/32/40/7/manual_time",52434,13.361,89.0211,us,1.8789e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/40/7/manual_time",42690,16.3577,91.7471,us,3.0684e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/128/40/7/manual_time",31238,22.3828,97.5624,us,4.48415e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/256/40/7/manual_time",19416,36.0425,111.091,us,5.56898e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/8/48/7/manual_time",67007,10.4437,86.4615,us,7.22502e+09,,,,
"Baseline_TIMM_LayerNorm_fp16/16/48/7/manual_time",64506,10.8567,86.822,us,1.38827e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/32/48/7/manual_time",52232,13.3824,89.0557,us,2.25108e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/48/7/manual_time",42754,16.4263,91.8394,us,3.6667e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/128/48/7/manual_time",30960,22.6458,97.9477,us,5.3185e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/256/48/7/manual_time",19390,36.1025,111.123,us,6.67167e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/8/56/7/manual_time",66395,10.5304,86.5819,us,8.35979e+09,,,,
"Baseline_TIMM_LayerNorm_fp16/16/56/7/manual_time",63963,10.9194,86.8862,us,1.61035e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/32/56/7/manual_time",52015,13.4529,89.1579,us,2.6125e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/56/7/manual_time",42503,16.4475,91.9088,us,4.27231e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/128/56/7/manual_time",30926,22.6259,97.8919,us,6.21036e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/256/56/7/manual_time",19399,36.0666,111.102,us,7.79137e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/8/72/7/manual_time",66199,10.5834,86.6047,us,1.06945e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/16/72/7/manual_time",64014,10.9297,86.9278,us,2.06849e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/32/72/7/manual_time",51255,13.6367,89.3239,us,3.31365e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/72/7/manual_time",41876,16.7639,92.3359,us,5.38929e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/128/72/7/manual_time",30420,22.9888,98.3595,us,7.85871e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/256/72/7/manual_time",19060,36.7432,111.934,us,9.833e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/8/152/7/manual_time",64816,10.8011,86.9263,us,2.21222e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/16/152/7/manual_time",62237,11.2319,87.2599,us,4.24934e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/32/152/7/manual_time",50238,13.9434,89.7511,us,6.84158e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/152/7/manual_time",40500,17.2151,92.6006,us,1.10792e+11,,,,
"Baseline_TIMM_LayerNorm_fp16/128/152/7/manual_time",28759,24.359,99.655,us,1.56574e+11,,,,
"Baseline_TIMM_LayerNorm_fp16/256/152/7/manual_time",17895,39.1226,114.203,us,1.9496e+11,,,,
"Baseline_TIMM_LayerNorm_fp16/8/184/7/manual_time",64482,10.8749,87.0071,us,2.65978e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/16/184/7/manual_time",62179,11.1594,87.0897,us,5.17732e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/32/184/7/manual_time",50009,13.9755,89.678,us,8.26293e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/184/7/manual_time",40366,17.31,92.7373,us,1.33381e+11,,,,
"Baseline_TIMM_LayerNorm_fp16/128/184/7/manual_time",28690,24.3894,99.6117,us,1.89301e+11,,,,
"Baseline_TIMM_LayerNorm_fp16/256/184/7/manual_time",17834,39.2375,114.224,us,2.35314e+11,,,,
"Baseline_TIMM_LayerNorm_fp16/8/200/7/manual_time",64178,10.8579,86.9422,us,2.89559e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/16/200/7/manual_time",62209,11.2145,87.1435,us,5.59992e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/32/200/7/manual_time",49841,14.0756,89.8463,us,8.91758e+10,,,,
"Baseline_TIMM_LayerNorm_fp16/64/200/7/manual_time",40087,17.4858,92.9529,us,1.43522e+11,,,,
"Baseline_TIMM_LayerNorm_fp16/128/200/7/manual_time",28392,24.6191,99.8092,us,2.03842e+11,,,,
"Baseline_TIMM_LayerNorm_fp16/256/200/7/manual_time",17629,39.7182,114.698,us,2.5268e+11,,,,
