2023-01-04T15:27:00+00:00
Running ./bin/nvfuser_bench
Run on (64 X 3500 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 32 KiB (x32)
  L2 Unified 512 KiB (x32)
  L3 Unified 16384 KiB (x8)
Load Average: 0.21, 0.19, 0.30
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/8/24/7/manual_time",84816,7.93127,79.5664,us,4.75687e+09,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 2 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 2/Launch_Parameters[block(1/1/12)/grid(1/1/196)/48]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/16/24/7/manual_time",70953,9.53948,80.9874,us,7.8998e+09,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 4 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 2/Launch_Parameters[block(1/1/12)/grid(1/1/196)/48]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/32/24/7/manual_time",52972,12.924,84.0714,us,1.16546e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 8 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / /Launch_Parameters[block(1/1/24)/grid(1/1/196)/96]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/64/24/7/manual_time",52191,13.079,84.2576,us,2.30257e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 8 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / /Launch_Parameters[block(1/1/24)/grid(1/1/392)/96]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/128/24/7/manual_time",49378,13.8508,84.8587,us,4.34781e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 8 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / /Launch_Parameters[block(1/1/24)/grid(1/1/784)/96]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/256/24/7/manual_time",43912,15.6029,86.4281,us,7.71858e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: multiple reductions per block / unroll / factor 8 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / /Launch_Parameters[block(1/3/24)/grid(1/1/523)/288]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/8/40/7/manual_time",94133,7.14371,78.8945,us,8.80215e+09,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain:  // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 8/Launch_Parameters[block(1/1/5)/grid(1/1/392)/20]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/16/40/7/manual_time",91079,7.35725,79.0859,us,1.70716e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain:  // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 8/Launch_Parameters[block(1/1/5)/grid(1/1/784)/20]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/32/40/7/manual_time",83969,7.97308,79.6045,us,3.1486e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain:  // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 8/Launch_Parameters[block(1/1/5)/grid(1/1/1568)/20]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/64/40/7/manual_time",73046,9.24437,80.6775,us,5.42946e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain:  // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 8/Launch_Parameters[block(1/1/5)/grid(1/1/3136)/20]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/128/40/7/manual_time",56133,12.1069,83.2187,us,8.29018e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain:  // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 8/Launch_Parameters[block(1/1/5)/grid(1/1/6272)/20]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/256/40/7/manual_time",41067,16.7422,87.2291,us,1.19889e+11,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain:  // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 8/Launch_Parameters[block(1/1/5)/grid(1/1/12544)/20]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/8/48/7/manual_time",81728,8.23327,79.8589,us,9.16476e+09,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 2 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 2/Launch_Parameters[block(1/1/24)/grid(1/1/196)/96]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/16/48/7/manual_time",66663,10.201,81.6704,us,1.4775e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 4 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 2/Launch_Parameters[block(1/1/24)/grid(1/1/196)/96]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/32/48/7/manual_time",47442,14.4011,85.4715,us,2.09183e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 8 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / /Launch_Parameters[block(1/1/48)/grid(1/1/196)/192]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/64/48/7/manual_time",46120,14.8404,85.7512,us,4.05855e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 8 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / /Launch_Parameters[block(1/1/48)/grid(1/1/392)/192]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/128/48/7/manual_time",43159,15.8393,86.5767,us,7.60396e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 8 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / /Launch_Parameters[block(1/1/48)/grid(1/1/784)/192]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/256/48/7/manual_time",34798,19.7474,90.0415,us,1.21972e+11,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: multiple reductions per block / unroll / factor 8 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / /Launch_Parameters[block(1/3/48)/grid(1/1/523)/576]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/8/56/7/manual_time",81818,8.25878,79.8547,us,1.06592e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 2 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 2/Launch_Parameters[block(1/1/28)/grid(1/1/196)/112]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/16/56/7/manual_time",66320,10.217,81.6738,us,1.72106e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 4 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / vectorize / factor 2/Launch_Parameters[block(1/1/28)/grid(1/1/196)/112]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/32/56/7/manual_time",47301,14.4379,85.3891,us,2.43426e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 8 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / /Launch_Parameters[block(1/1/56)/grid(1/1/196)/224]",,
"NvFuserScheduler_TIMM_LayerNorm_fp16___GRAPH/NvFuserScheduler_TIMM_LayerNorm_fp16/64/56/7/manual_time",46089,14.8487,85.7436,us,4.73233e+10,,"Red On Fastest Dim // Persistent Kernel //  // Iteration Domain: unroll / factor 8 // Inner Reduction Domain: cross block reduction / persistent batch - 1 / /Launch_Parameters[block(1/1/56)/grid(1/1/392)/224]",,
