,out_dim,inner_dim,eager,fuser,ratio of memory throughput (higher is better)
0,24,7,3.59359,4.75687,1.3237097164673768
294,72,7,128.376,141.708,1.1038511871377827
295,152,7,157.565,291.981,1.8530828546948879
296,152,7,195.405,430.447,2.2028453724316166
297,152,7,222.775,545.39,2.448165189092133
298,152,7,240.24,626.94,2.60964035964036
299,152,7,250.292,675.926,2.700549757882793
278,40,7,69.6686,182.227,2.6156259778436772
53,368,7,425.61,792.425,1.8618570992222925
52,368,7,345.226,605.471,1.7538395138257257
51,368,7,250.518,402.284,1.6058087642404937
50,368,7,157.428,242.559,1.5407614909672993
49,368,7,99.75,140.103,1.4045413533834588
48,368,7,52.1926,73.6547,1.4112096350823682
47,200,7,252.68,552.17,2.185254076302042
46,200,7,203.842,386.578,1.896459022183848
45,200,7,143.522,250.861,1.7478923091930156
44,200,7,89.1758,147.899,1.6585104927570036
293,72,7,123.056,124.693,1.0133028864907034
292,72,7,113.446,152.197,1.3415810165188724
291,72,7,98.5605,146.48,1.4861937591631533
290,72,7,78.938,94.4209,1.1961400086143557
277,40,7,64.094,153.042,2.3877742066340066
276,40,7,55.6003,117.453,2.1124526306512736
275,40,7,44.6686,80.4682,1.8014488925106227
274,24,7,43.9857,173.811,3.951534248630805
273,24,7,41.9915,151.158,3.5997285164854786
272,24,7,38.6291,124.349,3.219049887261158
271,24,7,33.5883,77.2748,2.300646356022782
270,24,7,26.8943,43.51,1.617814927326608
43,200,7,55.9992,80.8598,1.443945627794683
280,48,7,53.1469,76.1072,1.432015790196606
282,48,7,76.9596,138.114,1.7946299097188656
283,48,7,83.6499,160.738,1.9215563915796672
284,48,7,87.3316,153.375,1.7562371466914612
285,56,7,62.0989,88.5191,1.4254535909653794
286,56,7,77.7984,133.727,1.718891391082593
287,56,7,89.9988,145.408,1.6156659866575998
288,56,7,97.449,123.457,1.2668883210705086
289,56,7,101.757,136.067,1.337175820828051
281,48,7,66.5458,121.753,1.829612086713211
42,200,7,28.9559,41.1915,1.422559823731951
279,40,7,72.8078,197.836,2.717236340062466
40,184,7,189.301,349.649,1.8470531059001274
3,24,7,18.5345,23.0257,1.2423156815668077
4,24,7,26.9689,43.4781,1.6121569659867476
5,24,7,33.7112,77.1858,2.289618880372102
6,40,7,6.04232,8.80215,1.456750056269777
7,40,7,11.601,17.0716,1.4715627963106628
8,40,7,18.789,31.486,1.6757677364415349
9,40,7,30.684,54.2946,1.7694759483770044
10,40,7,44.8415,82.9018,1.848774015142223
12,48,7,7.22502,9.16476,1.2684753813830272
13,48,7,13.8827,14.775,1.0642742406016121
14,48,7,22.5108,20.9183,0.9292561792561792
15,48,7,36.667,40.5855,1.1068672102980883
16,48,7,53.185,76.0396,1.429718905706496
17,48,7,66.7167,121.972,1.8282079299485734
18,56,7,8.35979,10.6592,1.2750559523624396
19,56,7,16.1035,17.2106,1.0687490297140372
20,56,7,26.125,24.3426,0.9317741626794259
21,56,7,42.7231,47.3233,1.1076747707914454
22,56,7,62.1036,88.4003,1.4234327800642796
23,56,7,77.9137,134.103,1.7211735548433715
24,72,7,10.6945,13.0452,1.2198045724437796
25,72,7,20.6849,20.7025,1.0008508622231678
26,72,7,33.1365,28.5065,0.8602749234228118
27,72,7,53.8929,54.2988,1.0075316043486249
28,72,7,78.5871,94.4412,1.2017392167416787
29,72,7,98.33,147.234,1.497345672734669
41,184,7,235.314,516.359,2.1943403282422635
2,24,7,11.3224,11.6546,1.02934006924327
1,24,7,6.97058,7.8998,1.1333059802771075
11,40,7,55.6898,119.889,2.152799974142482
35,152,7,194.96,430.91,2.2102482560525236
38,184,7,82.6293,136.245,1.6488703159775044
30,152,7,22.1222,31.8172,1.438247552232599
31,152,7,42.4934,60.5811,1.4256590435220529
39,184,7,133.381,230.093,1.7250807836198558
32,152,7,68.4158,112.33,1.641872199111901
33,152,7,110.792,192.943,1.7414885551303345
34,152,7,156.574,292.488,1.868049612323885
36,184,7,26.5978,37.4154,1.406710329425742
37,184,7,51.7732,72.9208,1.4084661562352723
305,40,14,64.2344,154.798,2.409892518650443
304,24,14,45.5104,175.793,3.86269951483617
303,24,14,44.9555,168.131,3.739942832356441
302,24,14,43.9803,175.002,3.9790997332896776
301,24,14,42.0459,149.692,3.560204443239412
73,56,14,42.308,46.2704,1.0936560461378464
306,40,14,69.7732,183.838,2.634793875012182
54,24,14,11.134,11.6861,1.0495868510867612
55,24,14,18.3533,23.0492,1.2558613437365487
56,24,14,26.6983,43.5175,1.6299726948906859
57,24,14,33.5829,77.2539,2.300393950492661
300,24,14,38.6684,122.317,3.1632288897394254
307,40,14,72.8546,197.192,2.7066513301836808
308,40,14,74.3954,206.866,2.7806289098519534
309,40,14,75.3909,211.148,2.800709369433181
329,152,14,258.262,724.768,2.8063284571481675
328,152,14,255.543,707.548,2.768802119408475
327,152,14,250.333,678.508,2.7104217182712627
326,152,14,240.182,623.376,2.595431797553522
325,152,14,222.897,538.802,2.417268962794475
324,72,14,133.049,154.213,1.1590692151012032
323,72,14,131.489,151.761,1.1541725923841537
322,72,14,128.434,141.668,1.103041250759145
321,72,14,123.143,124.713,1.012749405163103
58,24,14,38.6577,124.766,3.2274553323141317
320,72,14,113.6,152.477,1.3422271126760565
318,56,14,104.295,170.106,1.631008197900187
317,56,14,101.822,135.801,1.3337098073107971
316,56,14,97.4759,124.023,1.2723452668813522
315,56,14,89.9427,144.166,1.6028649351198039
314,48,14,90.5754,167.918,1.8539029361173123
313,48,14,89.4598,159.254,1.7801738881598215
312,48,14,87.4089,153.066,1.751148910465639
311,48,14,83.7333,161.623,1.930211755657546
310,48,14,77.1165,136.899,1.7752232012604305
319,56,14,105.545,172.717,1.6364299587853524
59,24,14,42.0134,150.729,3.5876410859392487
74,56,14,61.6612,86.4461,1.4019529298813516
61,40,14,30.1276,54.2973,1.8022444535907274
94,184,14,268.489,648.524,2.4154583614226284
93,184,14,235.171,510.323,2.170008206794205
92,184,14,189.116,345.732,1.8281478034645402
91,184,14,133.889,225.506,1.6842757806839994
90,184,14,82.7851,131.457,1.5879306783467073
89,152,14,240.23,624.01,2.5975523456687344
88,152,14,222.581,539.474,2.423719904214646
87,152,14,195.032,422.508,2.1663521883588333
86,152,14,156.331,284.815,1.8218715417927347
95,184,14,288.795,748.955,2.593379386762236
60,40,14,18.5446,31.5053,1.6988934784249863
83,72,14,122.911,124.74,1.0148806860248472
82,72,14,113.53,152.312,1.3416013388531667
81,72,14,98.4435,146.625,1.4894330250346646
80,72,14,78.4556,94.3859,1.203048603286445
79,72,14,53.8213,54.3261,1.0093791863072799
78,72,14,33.0929,28.5086,0.861471796065017
77,56,14,97.3055,123.804,1.2723227361248852
76,56,14,89.824,143.988,1.6030014250089064
75,56,14,77.6773,131.111,1.6878933742547693
84,152,14,68.4394,108.278,1.5821003690856437
96,200,14,89.5512,142.095,1.5867459062525127
85,152,14,110.581,186.92,1.6903446342500066
98,200,14,204.347,376.847,1.8441523487009839
97,200,14,143.974,243.34,1.6901662800227821
62,40,14,44.3306,82.9494,1.8711544621548095
63,40,14,55.3891,119.844,2.16367480244308
64,40,14,64.0973,154.733,2.414033040393277
65,40,14,69.6113,183.75,2.639657641790916
67,48,14,36.3882,40.5866,1.1153780621190386
68,48,14,52.8886,76.1212,1.4392742481366496
69,48,14,66.5097,120.996,1.8192233614044269
70,48,14,76.9603,138.046,1.793730014046203
71,48,14,83.535,160.404,1.9202011133058
66,48,14,22.2659,20.9273,0.9398811635729973
107,368,14,518.985,1050.3,2.0237579120783837
106,368,14,482.348,950.278,1.9701087181868693
105,368,14,425.884,790.732,1.8566839796752166
104,368,14,345.891,603.745,1.7454776215628622
103,368,14,251.654,400.778,1.5925755203573162
102,368,14,157.656,242.214,1.5363449535697975
101,200,14,311.032,786.666,2.5292124283031976
100,200,14,288.085,679.737,2.3595015360049985
72,56,14,25.9374,23.7552,0.9158666635823174
99,200,14,252.759,541.34,2.1417239346571244
344,48,28,91.2489,175.068,1.9185765527036491
345,56,28,101.758,135.844,1.3349712061950902
346,56,28,104.292,170.115,1.6311414106547004
347,56,28,105.56,172.762,1.6366237211064798
