2023-01-06T14:13:41+00:00
Running ./bin/nvfuser_bench
Run on (64 X 3500 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x32)
  L1 Instruction 32 KiB (x32)
  L2 Unified 512 KiB (x32)
  L3 Unified 16384 KiB (x8)
Load Average: 0.52, 0.55, 0.54
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/32/2/manual_time",10000,10.298,83.7642,us,3.25657e+09,,"Red On Slow Dim // Persistent Kernel // Project Persistent Buffers //  // Iteration Domain: multiple reductions per block /  // Inner Reduction Domain: cross block reduction / persistent batch - 1 / unroll / factor 4/Launch_Parameters[block(1/64/8)/grid(1/1/4)/2048]",,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/32/2/manual_time",9526,14.4711,87.4269,us,1.8168e+10,,"Red On Slow Dim // Persistent Kernel // Project Persistent Buffers //  // Iteration Domain: multiple reductions per block /  // Inner Reduction Domain: cross block reduction / persistent batch - 8 / unroll / factor 4/Launch_Parameters[block(1/64/8)/grid(1/1/4)/2048]",,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/64/2/manual_time",13710,10.4748,83.7874,us,6.40321e+09,,"Red On Slow Dim // Persistent Kernel // Project Persistent Buffers //  // Iteration Domain: multiple reductions per block /  // Inner Reduction Domain: cross block reduction / persistent batch - 1 / unroll / factor 4/Launch_Parameters[block(1/64/8)/grid(1/1/8)/2048]",,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/64/2/manual_time",8952,15.4226,88.0996,us,3.40944e+10,,"Red On Slow Dim // Persistent Kernel // Project Persistent Buffers //  // Iteration Domain: multiple reductions per block /  // Inner Reduction Domain: cross block reduction / persistent batch - 8 / unroll / factor 4/Launch_Parameters[block(1/64/8)/grid(1/1/8)/2048]",,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/128/2/manual_time",13309,10.7672,84.1241,us,1.24586e+10,,"Red On Slow Dim // Persistent Kernel // Project Persistent Buffers //  // Iteration Domain: multiple reductions per block /  // Inner Reduction Domain: cross block reduction / persistent batch - 1 / unroll / factor 4/Launch_Parameters[block(1/64/8)/grid(1/1/16)/2048]",,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/128/2/manual_time",8802,15.6862,88.2361,us,6.70428e+10,,"Red On Slow Dim // Persistent Kernel // Project Persistent Buffers //  // Iteration Domain: multiple reductions per block /  // Inner Reduction Domain: cross block reduction / persistent batch - 8 / unroll / factor 4/Launch_Parameters[block(1/64/8)/grid(1/1/16)/2048]",,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/32/8/manual_time",7459,19.1037,91.6665,us,2.74845e+10,,"Red On Slow Dim // Persistent Kernel // Project Persistent Buffers //  // Iteration Domain: multiple reductions per block /  // Inner Reduction Domain: cross block reduction / persistent batch - 16 / unroll / factor 4/Launch_Parameters[block(1/64/4)/grid(1/1/8)/1024]",,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/32/8/manual_time",4582,30.4941,101.744,us,1.3757e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/64/8/manual_time",6590,21.5163,93.8195,us,4.88055e+10,,"Red On Slow Dim // Persistent Kernel // Project Persistent Buffers //  // Iteration Domain: multiple reductions per block /  // Inner Reduction Domain: cross block reduction / persistent batch - 16 / unroll / factor 4/Launch_Parameters[block(1/64/4)/grid(1/1/16)/1024]",,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/64/8/manual_time",3132,44.7055,116.272,us,1.87676e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/128/8/manual_time",6490,21.8549,93.8929,us,9.60985e+10,,"Red On Slow Dim // Persistent Kernel // Project Persistent Buffers //  // Iteration Domain: multiple reductions per block /  // Inner Reduction Domain: cross block reduction / persistent batch - 16 / unroll / factor 4/Launch_Parameters[block(1/64/4)/grid(1/1/32)/1024]",,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/128/8/manual_time",2281,61.3929,134.424,us,2.73326e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/32/64/manual_time",1327,105.309,178.37,us,3.18635e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/32/64/manual_time",267,523.275,598.762,us,5.12992e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/64/64/manual_time",968,144.128,217.875,us,4.65631e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/64/64/manual_time",145,963.994,1040.86,us,5.56925e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/128/64/manual_time",563,247.339,322.788,us,5.4266e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/128/64/manual_time",74,1851.88,1929.18,us,5.79815e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/32/128/manual_time",515,267.495,342.568,us,5.01761e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/32/128/manual_time",66,2086.29,2161.82,us,5.14666e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/64/128/manual_time",285,488.423,563.709,us,5.496e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/64/128/manual_time",36,3859.2,3934.08,us,5.56459e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/64/128/128/manual_time",149,936.52,1013.1,us,5.73265e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/512/128/128/manual_time",18,7546.71,7622.51,us,5.69118e+11,,,,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/2/2/2/manual_time",17591,7.56116,81.2662,us,1.48125e+07,,"Red On Slow Dim // Persistent Kernel // Project Persistent Buffers //  // Iteration Domain: multiple reductions per block /  // Inner Reduction Domain: cross block reduction / persistent batch - 1 / unroll / factor 4/Launch_Parameters[block(1/2/8)/grid(1/1/1)/64]",,
"NvFuserScheduler_BatchNorm_nhwc_fp16___GRAPH/NvFuserScheduler_BatchNorm_nhwc_fp16/8/2/2/manual_time",16905,7.96515,81.629,us,3.81663e+07,,"Red On Slow Dim // Persistent Kernel // Project Persistent Buffers //  // Iteration Domain: multiple reductions per block /  // Inner Reduction Domain: cross block reduction / persistent batch - 1 / unroll / factor 4/Launch_Parameters[block(1/8/8)/grid(1/1/1)/256]",,
